Project_name,SiteID,BASIN,LOCATION,RIVMILE,sys_sample_code,chemical_name,sample_date,cas_rn,fraction,result_value,result_unit
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,Calcium,7/23/2018 10:15,7440-70-2,T,58400,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,"Carbon, Dissolved Organic (DOC)",7/23/2018 10:15,DOC,D,6.1,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,CHLORIDE (AS CL),7/23/2018 10:15,16887-00-6,T,259,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,Copper,7/23/2018 10:15,7440-50-8,D,8.1,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,Copper,7/23/2018 10:15,7440-50-8,T,9.1,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,HARDNESS (AS CACO3),7/23/2018 10:15,HARD,T,222,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,Magnesium,7/23/2018 10:15,7439-95-4,T,18600,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,Manganese,7/23/2018 10:15,7439-96-5,T,571,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,Nickel,7/23/2018 10:15,7440-02-0,D,8,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,Nitrogen,7/23/2018 10:15,KN,T,32.1,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,"Nitrogen, ammonia (As N)",7/23/2018 10:15,7664-41-7,T,0.603,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,"NITROGEN, KJELDAHL, TOTAL",7/23/2018 10:15,KN,T,1.52,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,"NITROGEN, NITRATE (AS N)",7/23/2018 10:15,14797-55-8,T,30.6,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,"NITROGEN, NITRITE",7/23/2018 10:15,14797-65-0,T,0.041,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,"Orthophosphate as Phosphorus, Dissolved",7/23/2018 10:15,PDORTHO,D,0.312,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,"PHOSPHORUS, TOTAL (AS P)",7/23/2018 10:15,7723-14-0,T,0.422,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,Sodium,7/23/2018 10:15,7440-23-5,T,125000,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,SULFATE (AS SO4),7/23/2018 10:15,14808-79-8,T,51.3,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",7/23/2018 10:15,TDS,T,628,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,Zinc,7/23/2018 10:15,7440-66-6,D,61.7,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-07232018-WS,Zinc,7/23/2018 10:15,7440-66-6,T,61.3,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,"ALKALINITY, TOTAL (AS CaCO3)",8/1/2018 11:45,ALK,T,9.2,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,Aluminum,8/1/2018 11:45,7429-90-5,D,16.3,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,Calcium,8/1/2018 11:45,7440-70-2,T,64300,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,"Carbon, Dissolved Organic (DOC)",8/1/2018 11:45,DOC,D,4.5,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,CHLORIDE (AS CL),8/1/2018 11:45,16887-00-6,T,1290,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,Copper,8/1/2018 11:45,7440-50-8,D,15.5,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,Copper,8/1/2018 11:45,7440-50-8,T,15.4,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,HARDNESS (AS CACO3),8/1/2018 11:45,HARD,T,240,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,Magnesium,8/1/2018 11:45,7439-95-4,T,19300,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,Manganese,8/1/2018 11:45,7439-96-5,T,208,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,Nickel,8/1/2018 11:45,7440-02-0,D,7.5,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,Nitrogen,8/1/2018 11:45,KN,T,32.1,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,"Nitrogen, ammonia (As N)",8/1/2018 11:45,7664-41-7,T,0.237,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,"NITROGEN, NITRATE (AS N)",8/1/2018 11:45,14797-55-8,T,30.7,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,"NITROGEN, NITRITE",8/1/2018 11:45,14797-65-0,T,0.063,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,"PHOSPHORUS, TOTAL (AS P)",8/1/2018 11:45,7723-14-0,T,0.218,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,Sodium,8/1/2018 11:45,7440-23-5,T,779000,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",8/1/2018 11:45,TDS,T,2440,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,Conductivity,8/1/2018 11:50,COND,T,3757,uS/cm
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,Dissolved Oxygen,8/1/2018 11:50,7782-44-7,D,6.88,mg/l
