pH,0°C,5°C,10°C,15°C,20°C,25°C,30°C
6.5,2500,2400,2200,2200,2100,1500,1000
6.75,2500,2400,2200,2200,2100,1500,1000
7,2500,2400,2200,2200,2100,1500,1000
7.25,2500,2400,2200,2200,2100,1500,1100
7.5,2500,2400,2200,2200,2100,1500,1100
7.75,2300,2200,2100,2000,1900,1400,1000
8,1500,1400,1300,1300,1300,930,670
8.25,870,820,780,760,760,540,400
8.5,490,470,450,440,450,330,250
8.75,280,270,260,270,270,210,160
9,160,160,160,160,170,140,110
