pH,0°C,5°C,10°C,15°C,20°C,25°C,30°C
6.5,35000,33000,31000,30000,29000,29000,20000
6.75,32000,30000,28000,27000,27000,26000,19000
7,28000,26000,25000,24000,23000,23000,16000
7.25,23000,22000,20000,20000,19000,19000,14000
7.5,17000,16000,16000,15000,15000,15000,10000
7.75,12000,11000,11000,11000,10000,10000,7300
8,8000,7500,7100,6900,6800,6800,4900
8.25,4500,4200,4100,4000,3900,4000,2900
8.5,2600,2400,2300,2300,2300,2400,1800
8.75,1400,1400,1300,1400,1400,1500,1100
9,860,830,830,860,910,1000,820
