pH,0°C,5°C,10°C,15°C,20°C,25°C,30°C
6.5,2500,2400,2200,2200,1500,1000,730
6.75,2500,2400,2200,2200,1500,1000,730
7,2500,2400,2200,2200,1500,1000,740
7.25,2500,2400,2200,2200,1500,1000,740
7.5,2500,2400,2200,2200,1500,1100,740
7.75,2300,2200,2100,2000,1400,990,710
8,1500,1400,1400,1300,930,660,470
8.25,870,820,780,760,540,390,280
8.5,490,470,450,440,320,230,170
8.75,280,270,260,270,190,150,110
9,160,160,160,160,130,100,80
