"Project_name","SiteID","BASIN","LOCATION","RIVMILE","SAMPLE_DATE","cas_rn","chemical_name","fraction","result_value","result_unit","Health..Water.Source.","Health.Fish.Consumption.","Aquatic.Chronic.","Aquatic..Acute.","Wildlife","Aesthetic.Water.Source.","Aesthetic.Food.Source.","Recreation","HWS","HFS","AC","AA","W","EWS","EFS","R"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","7440-23-5","Sodium","T",795000,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","14808-79-8","SULFATE (AS SO4)","T",59900,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","TDS","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)","T",2290000,"ug/l","NS","NS","500000","NS","NS","NS","NS","NS","NS","NS","V","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","TEMP","water temperature","T",23.8,"deg c","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","7440-66-6","Zinc","D",39.6,"ug/l","NS","NS","183.107610106182","259.01008336824","NS","NS","NS","NS","NS","NS","NV","NV","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-11","7440-66-6","Zinc","T",40.7,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","ALK","ALKALINITY, TOTAL (AS CaCO3)","T",7200,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","7429-90-5","Aluminum","D",22.6,"ug/l","NS","NS","100","NS","NS","NS","NS","NS","NS","NS","NV","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","7440-70-2","Calcium","T",58400,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","DOC","Carbon, Dissolved Organic (DOC)","D",6100,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","16887-00-6","CHLORIDE (AS CL)","T",259000,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","COND","Conductivity","T",1450,"uS/cm","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","7440-50-8","Copper","D",8.1,"ug/l","NS","NS","17.7035613984085","28.4907830917451","NS","NS","NS","NS","NS","NS","NV","NV","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","7440-50-8","Copper","T",9.1,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","7782-44-7","Dissolved Oxygen","D",7700,"ug/l","NS","NS","4000","NS","NS","NS","NS","NS","NS","NS","NV","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","HARD","HARDNESS (AS CACO3)","T",222000,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","7439-95-4","Magnesium","T",18600,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","7439-96-5","Manganese","T",571,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","7440-02-0","Nickel","D",8,"ug/l","NS","NS","102.111010125741","919.34647319025","NS","NS","NS","NS","NS","NS","NV","NV","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","KN","Nitrogen","T",32100,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","7664-41-7","Nitrogen, ammonia (As N)","T",603,"ug/l","NS","NS","1800","NS","NS","NS","NS","NS","NS","NS","NV","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","KN","NITROGEN, KJELDAHL, TOTAL","T",1520,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","14797-55-8","NITROGEN, NITRATE (AS N)","T",30600,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","14797-65-0","NITROGEN, NITRITE","T",41,"ug/l","NS","NS","100","NS","NS","NS","NS","NS","NS","NS","NV","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","PDORTHO","Orthophosphate as Phosphorus, Dissolved","D",312,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","PER_SAT","Percent Saturation","T",90,"std unit","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","PH","PH","T",6.57,"pH units","NS","NS","8.5-6.5","NS","NS","NS","NS","NS","NS","NS","NV","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","7723-14-0","PHOSPHORUS, TOTAL (AS P)","T",422,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","SALI","Salinity","T",0.72,"ppm","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","7440-23-5","Sodium","T",125000,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","14808-79-8","SULFATE (AS SO4)","T",51300,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","TDS","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)","T",628000,"ug/l","NS","NS","500000","NS","NS","NS","NS","NS","NS","NS","V","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","TEMP","water temperature","T",22.6,"deg c","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","7440-66-6","Zinc","D",61.7,"ug/l","NS","NS","162.759845615369","230.313848329188","NS","NS","NS","NS","NS","NS","NV","NV","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-07-23","7440-66-6","Zinc","T",61.3,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
