Project_name,SiteID,BASIN,LOCATION,RIVMILE,SAMPLE_DATE,cas_rn,chemical_name,fraction,result_value,result_unit,Health..Water.Source.,Health.Fish.Consumption.,Aquatic.Chronic.,Aquatic..Acute.,Wildlife,Aesthetic.Water.Source.,Aesthetic.Food.Source.,Recreation,HWS,HFS,AC,AA,W,EWS,EFS,R
Ramapo RAS 2044,15-KJSTP-001,15,KJSTP,001,7/11/2018,7440-66-6,Zinc,D,39.6,ug/l,NS,NS,183.1076101,259.0100834,NS,NS,NS,NS,NS,NS,NV,NV,NS,NS,NS,NS
Ramapo RAS 2045,15-KJSTP-001,15,KJSTP,001,7/11/2018,7440-66-6,Zinc,T,40.7,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2046,15-KJSTP-001,15,KJSTP,001,7/23/2018,ALK,"ALKALINITY, TOTAL (AS CaCO3)",T,7200,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2047,15-KJSTP-001,15,KJSTP,001,7/23/2018,7429-90-5,Aluminum,D,22.6,ug/l,NS,NS,100,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2048,15-KJSTP-001,15,KJSTP,001,7/23/2018,7440-70-2,Calcium,T,58400,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2049,15-KJSTP-001,15,KJSTP,001,7/23/2018,DOC,"Carbon, Dissolved Organic (DOC)",D,6100,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2050,15-KJSTP-001,15,KJSTP,001,7/23/2018,16887-00-6,CHLORIDE (AS CL),T,259000,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2051,15-KJSTP-001,15,KJSTP,001,7/23/2018,COND,Conductivity,T,1450,uS/cm,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2052,15-KJSTP-001,15,KJSTP,001,7/23/2018,7440-50-8,Copper,D,8.1,ug/l,NS,NS,17.7035614,28.49078309,NS,NS,NS,NS,NS,NS,NV,NV,NS,NS,NS,NS
Ramapo RAS 2053,15-KJSTP-001,15,KJSTP,001,7/23/2018,7440-50-8,Copper,T,9.1,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2054,15-KJSTP-001,15,KJSTP,001,7/23/2018,7782-44-7,Dissolved Oxygen,D,7700,ug/l,NS,NS,4000,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2055,15-KJSTP-001,15,KJSTP,001,7/23/2018,HARD,HARDNESS (AS CACO3),T,222000,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2056,15-KJSTP-001,15,KJSTP,001,7/23/2018,7439-95-4,Magnesium,T,18600,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2057,15-KJSTP-001,15,KJSTP,001,7/23/2018,7439-96-5,Manganese,T,571,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2058,15-KJSTP-001,15,KJSTP,001,7/23/2018,7440-02-0,Nickel,D,8,ug/l,NS,NS,102.1110101,919.3464732,NS,NS,NS,NS,NS,NS,NV,NV,NS,NS,NS,NS
Ramapo RAS 2059,15-KJSTP-001,15,KJSTP,001,7/23/2018,KN,Nitrogen,T,32100,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2060,15-KJSTP-001,15,KJSTP,001,7/23/2018,7664-41-7,"Nitrogen, ammonia (As N)",T,603,ug/l,NS,NS,2.894,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2061,15-KJSTP-001,15,KJSTP,001,7/23/2018,KN,"NITROGEN, KJELDAHL, TOTAL",T,1520,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2062,15-KJSTP-001,15,KJSTP,001,7/23/2018,14797-55-8,"NITROGEN, NITRATE (AS N)",T,30600,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2063,15-KJSTP-001,15,KJSTP,001,7/23/2018,14797-65-0,"NITROGEN, NITRITE",T,41,ug/l,NS,NS,100,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
